ID,Name,Slug,"Parent ID"
752,Laboulaye,laboulaye,13
751,"Rio tercero",rio-tercero,13
750,Coronda,coronda,110
10,"Buenos Aires",buenos-aires,9
41,Luján,lujan,10
459,"9 de Julio",9-de-julio,10
157,Adrogué,adrogue,10
27,Arrecifes,arrecifes,10
109,Avellaneda,avelleneda,10
143,Azul,azul,10
141,"Bahía Blanca (Centro)",bahia-blanca,10
53,"Bahía Blanca (Villa Mitre)",villa-mitre,10
174,Baradero,baradero,10
617,"Brandsen - Sede online",brandsen-sede-online,10
28,Berazategui,berazategui,10
29,Campana,campana,10
460,Cañuela,canuela,10
30,"Carlos Casares",carlos-casares,10
31,Caseros,caseros,10
163,Chacabuco,chacabuco,10
461,Chascomus,chascomus,10
127,Chivilcoy,chivilcoy,10
106,"Coronel Suárez",coronelsuarez,10
135,Dorrego,dorrego,10
33,Escobar,escobar,10
128,Ezeiza,ezeiza,10
34,"Florencio Varela",florencio-varela,10
107,"General Rodríguez",generalrodriguez,10
611,"Gral. Villegas",gral-villegas,10
139,Hurlingham,hurlingham,10
35,"José C.Paz",jose-c-paz,10
36,Junin,junin,10
549,"La Costa",la-costa,10
37,"La Plata",la-plata,10
550,Laferrere,laferrere,10
38,Lanús,lanus,10
566,Lincoln,lincoln,10
487,Lobos,lobos,10
39,"Lomas de Zamora",lomas-de-zamora,10
609,"Magdalena - Sede online",magdalena-sede-online,10
158,"Mar del Plata",mar-del-plata,10
246,"Marcos Paz",marcos-paz,10
42,Mercedes,mercedes,10
43,Merlo,merlo,10
129,"Monte Grande",monte-grande,10
44,Moreno,moreno,10
45,Morón,moron,10
252,Necochea,necochea,10
241,Olavarría,olavarria,10
130,Pacheco,pacheco,10
46,"Parada Robles",parada-robles,10
47,Pergamino,pergamino,10
613,"Pigüé - Sede online",pigue-sede-online,10
48,Pilar,pilar,10
551,Pinamar,pinamar,10
94,Polvorines,polvorines,10
131,"Punta Alta",punta-alta,10
105,Quilmes,quilmes,10
49,"Ramos Mejía",ramos-mejia,10
144,Salto,salto,10
552,"San Antonio de Areco",san-antonio-de-areco,10
51,"San Fernando",san-fernando,10
52,"San Justo",san-justo,10
95,"San Martín",san-martin,10
112,"San Miguel",san-miguel,10
155,"San Nicolás",san-nicolas,10
173,"San Pedro",san-pedro,10
749,"San Vicente BA",san-vicente-ba,10
152,Tandil,tandil,10
439,Temperley,temperley,10
134,Tigre,tigre,10
614,"Tornquist - Sede online",tornquist-sede-online,10
140,Tortuguitas,tortuguitas,10
204,"Tres Arroyos",tres-arroyos,10
54,"Vicente López",vicente-lopez,10
244,Zarate,zarate,10
11,C.A.B.A,c-a-b-a,9
674,Chacarita,chacarita,11
108,Belgrano,belgrano,11
55,Flores,flores,11
56,Liniers,liniers,11
104,Once,once,11
103,Tribunales,tribunales,11
220,Catamarca,catamarca,9
221,Catamarca,catamarca-catamarca,220
96,Chaco,chaco,9
710,"Roque Sáez Peña",roque-saez-pena,96
97,Resistencia,resistencia,96
12,Chubut,chubut,9
57,"Comodoro Rivadavia",comodoro-rivadavia,12
264,"Puerto Madryn",puerto-madryn,12
254,Trelew,trelew,12
13,Córdoba,cordoba-c,9
709,"Valle de Calamuchita",valle-de-calamuchita,13
620,Oncativo,oncativo,13
598,"Bell Ville",bell-ville,13
592,Morteros,morteros,13
584,"Jesús Maria",jesus-maria,13
560,Arroyito,arroyito-cordoba-c,13
59,Córdoba,cordoba-cordoba,13
58,"Capilla del Monte",capilla-del-monte,13
255,"Villa Maria",villa-maria,13
265,"Las Varillas",las-varillas,13
126,"San Francisco",san-francisco,13
160,"Villa Carlos Paz",villa-carlos-paz,13
340,"Villa Allende",villa-allende,13
267,"La Rioja",la-rioja,9
601,Chilecito,chilecito,267
268,"La Rioja",la-rioja-la-rioja,267
336,Chamical,chamical,267
132,Corrientes,corrientes,9
605,"Esquina - Sede Online",esquina,132
593,Corrientes,corrientes-corrientes,132
585,Mercedes,mercedes-corrientes,132
581,"Bella Vista",bella-vista,132
159,Goya,goya,132
133,"Santo Tomé",santo-tome,132
110,"Santa Fe",santafe,9
607,"Ceres - Sede online",ceres-sede-online,110
604,Firmat,firmat,110
602,Reconquista,reconquista,110
590,Sunchales,sunchales,110
245,Rafaela,rafaela,110
111,Rosario,rosario,110
260,"San Lorenzo",san-lorenzo-2,110
177,"Santa Fe",santa-fe,110
262,"Venado Tuerto",venado-tuerto,110
14,"Entre Ríos",entre-rios,9
697,Villaguay,villaguay,14
249,Colón,colon,14
250,"Concepción del Uruguay",concepcion-del-uruguay,14
168,Concordia,concordia,14
67,Gualeguaychú,gualeguaychu,14
435,"La Paz",la-paz,14
176,Paraná,parana,14
145,Formosa,formosa,9
146,Formosa,formosa1,145
123,Jujuy,jujuy,9
151,Jujuy,jujuy-jujuy,123
124,"San Pedro de Jujuy",san-pedro-de-jujuy,123
16,"La Pampa",la-pampa,9
313,"General Pico",general-pico,16
72,"Santa Rosa",santa-rosa,16
17,Mendoza,mendoza-c,9
73,Mendoza,mendoza-mendoza,17
169,"San Martín Mendoza",san-martin-mendoza,17
178,"San Rafael",san-rafael,17
153,Misiones,misiones,9
314,Iguazú,iguazu,153
232,Eldorado,eldorado,153
240,Posadas,posadas,153
156,"Puerto Rico - Sede online",puerto-rico,153
253,Obera,obera,153
19,Neuquén,neuquen,9
251,Cutralcó,cutralco,19
165,Centenario,centenario,19
76,Neuquén,neuquen-neuquen,19
164,Plottier,plottier,19
181,"San Martin de los Andes",san-martin-de-los-andes,19
263,Zapala,zapala,19
20,"Río Negro",rio-negro,9
582,Catriel,catriel,20
436,"San Antonio Oeste",san-antonio-oeste,20
77,Bariloche,bariloche,20
247,"Choele Choel",choele-choel,20
78,Cipolleti,cipolleti,20
167,"General Roca",general-roca,20
79,"Ingeniero Jacobacci",ingeniero-jacobacci,20
125,Viedma,viedma,20
116,"Villa Regina",villa-regina,20
21,Salta,salta-c,9
586,Metán,metan,21
83,Salta,salta-salta,21
22,"San Juan",san-juan-c,9
84,"San Juan",san-juan-san-juan,22
23,"San Luis",san-luis-c,9
85,"San Luis",san-luis-san-luis,23
170,"Villa Mercedes",villa-mercedes,23
101,"Santa Cruz",santa-cruz,9
98,"Caleta Olivia",caleta-olivia,101
138,"Río Gallegos",rio-gallegos,101
693,"Santiago del estero",santiago-del-estero,9
694,"Santiago del estero",santiago-del-estero-santiago-del-estero,693
100,Tucumán,tucuman-tucumanc,9
256,Tucuman,tucuman,100
